,Position,Company,Location,clean
146,Captain Fresh - Data Analyst - IIT/NIIT/BIT/NIT (0-2 yrs),Captain Fresh,"Bengaluru, Karnataka, India",Captain Fresh Data Analyst IIT NIIT BIT NIT Building the future of meat and seafood supply chain We at Captain Fresh are building smart supply chain to deliver the highest quality seafood and meat for the Indian consumer Our innovations in process management and workforce orchestration along with strong industry credentials are enabling us to deliver the fastest harvest to fork in the industry End to end ownership of analytical problems for Supply Chain Management Business Build statistical models logic towards making better business decisions Building templates dashboards for operational and management reporting Data integration and building a data warehouse for automating the Business Intelligence system Proven working experience as a data analyst Technical expertise regarding data models database design development data mining and segmentation techniques Strong knowledge of and experience with reporting packages Business Objects etc databases SQL Etc Strong analytical skills with the ability to collect organize analyze and disseminate significant amounts of information with attention to detail and accuracy Strong analytical skills and process orientation with strong attention to detail and ability to make data backed decisions Strong verbal written communication skills Self directed focus and ability to prioritize within an ambiguous environment Ability to execute and follow through on high quality output with limited oversight Ability to work with cross functional leaders and influence rally align them towards a common org business goal BE B Tech BSc MCA ME M Tech MSc PG Diploma This job is provided by Shine com
147,Urgent | Hiring for Senior Tableau Developer,Okulus Digital,"Bengaluru, Karnataka, India",Dear Applicants We are looking for Senior Tableau Developer with 5 years of Experience 5 plus years of experience Strong Tableau Developer Strong SQL experience SAP experience S4 nice to have Azure Data Factory experience good if no SAP Tableau Dashboard experience OTC SD PTP experience Business Analyst Experience Experience leading an offshore team Mapping old data in ECC to S4 Backend mapping into new Connect to HANA Database Build views Regards Kruthika HR Okulus Digital Email kruthika This job is provided by Shine com
148,Urgent candidate for Data Engineer - Python/PySpark,Episeio Business Solutions,"Bengaluru, Karnataka, India",Responsible for Ingesting data from files streams and databases Process the data with Python and Pyspark and its storage into a time series database Develop programs in Python as part of data extraction data cleaning transformation and processing Develop and maintain scalable data pipelines Rest API s development Experience as a Data Engineer Advanced working SQL knowledge to create complex queries Experience in working with Time series Database relational databases as well as working familiarity with a variety of databases structured Unstructured Hands On experience on visualization tools like Grafana Power BI Experience in designing and implementing scalable architecture Good experience in doing object oriented programming in python Very strong in Object Oriented Analysis and Design OOAD Strong knowledge on REST APIs Experience working on Azure Cloud services IaaS PaaS Hands on Experience in working on Microsoft Azure Services like ADLS Blob Storage solutions Event Hubs Service Bus scale sets Load Balancers Azure Functions Databricks Hands on Experience in working on Kafka Knowledge on continuous integration continuous deployment Experience of data migration and deployment from On Prem to Cloud environment and vice versa Individual Contributor Certification on any cloud platform Hands on experience on Docker Containers and micro services architecture using Kubernetes Hand on experience in Golang programming This job is provided by Shine com
149,Data Scientist,Refactor Academy,"Bengaluru, Karnataka, India",Substantial hands on experience with data handling Capable of managing large volumes of data extracting clean and comprehend Able to analyze data independently and draw out salient insights Able to define a workflow for oneself and Associates on a daily or periodic basis contingent on the requirements of the project Able to contribute meaningfully to brainstorming discussions around nuances of the project Comfortable with statistical procedures such as basic distributions regressions and logistic models Experience with advanced statistics and Machine Learning algorithms is a plus Developing comprehensible analytical solutions to solve business problems using domain knowledge or statistical procedures depending on the requirements of the project Comfortable in representing the proceedings and or findings in a power point Comfortable in mentoring junior resources and creating an environment of learning in the team Helping the company with Business Development initiatives such as sales collaterals PoCs Case Studies Develop and define an area of expertise and take relevant training on the same for the organization Contribute to org level activities such as taking interviews Machine Learning Deep Learning and Statistical Modelling SQL Python MS PowerPoint Excel Basic Knowledge of PySpark Scala and Big Data Environments such as Hadoop Hive will be a plus Relevant analytics experience preferably in Finance domain
150,Salesforce Community Cloud Application Developer,Accenture in India,"Bengaluru, Karnataka, India",About Accenture Accenture is a global professional services company with leading capabilities in digital cloud and security Combining unmatched experience and specialized skills across more than 40 industries we offer Strategy and Consulting Technology and Operations services and Accenture Song all powered by the world s largest network of Advanced Technology and Intelligent Operations centers Our 699 000 people deliver on the promise of technology and human ingenuity every day serving clients in more than 120 countries We embrace the power of change to create value and shared success for our clients people shareholders partners and communities Visit us at accenture com Project Role Application Developer Project Role Description Design build and configure applications to meet business process and application requirements Management Level 8 Work Experience 8 10 years Work location Bengaluru Must Have Skills Good To Have Skills Job Requirements Key Responsibilities a Perform Code Review and Code Optimization on APEX b Can create technical design from Functional design Requirement c Able troubleshoot with debugging skills d Perform Impact analysis e Must perform configuration and customization Technical Experience a Must have SFDC Configuration including but not limited to Workflows Validations Approval Process etc Security Model Data Model b Must Technically skilled in configuration and customization c Must have Hands on Customization APEX Visual Force Triggers Batch Schedule Apex VF Components Test Class etc d Must have Hands on Deployment experience e Must have PD1 PD2 Certifications Professional Attributes a Must have Good Communication skills b Capable of Client facing Educational Qualification Regular 15 year full time education Additional Information NA 15 years of full time education
151,Database Developer - Data Science,Aavas Financiers Ltd,"Bengaluru, Karnataka, India",This job is sourced from a job board Learn more Exp 2 5 years Openings 1 Job Specification Designation Assistant Manager Minimum Qualification Bachelors Degree in Computer Science Experience 2 5 Year Function Department Data Science Location Bangalore Job Description Strong experience in programming on RDBMS like Redshift Teradata Oracle Mysql and expert level SQL abilities Desisgn Thorough knowledge of physical database design architecture and data structures Expertise in database concepts like normalisation MDM data governance performance integrity and security Assist with schema design and normalization of tables Collate prepare and present statistical information on database Desired Skills PL SQL coding in Redshift Oracle RAC SQL Server MySQL Good understanding of data and schema standards and concepts database design implementation troubleshooting and maintenance Strong in OOPS concepts Contact Person Archana Tawar Desired Skills and Experience rdbms oracle database developer sql database security oops mysql data structures pl sql
152,QA Engineer,Almabase,"Bengaluru, Karnataka, India",You will have to prepare test cases document test reports and log bugs In this role you will be working closely with the Product Manager and Quality engineers for frequent updates and developments You are required to be creative in your approach to breaking new features and bringing out edge cases in the development stage environment Feedback about learnings and discoveries have to be regularly communicated with the team You will be required to run smoke testing confirmatory tests and regressing tests on our modules periodically 2 3 years of relevant experience in the field of software testing manual testing Experience in testing Web applications and compatibility testing across browsers and devices Pays great attention to detail and helps identify edge cases A knack for breaking things You should be driven to test with the motive of breaking the application Good written and verbal communication skills Ability to be proactive in prioritizing and focusing on deliverables You have a knack for improving features and are passionate about creating impact through quality 
153,Data Scientist,Systems Limited,"Bengaluru, Karnataka, India",We are searching for a strategic and inquisitive Data Scientist to Develop and run with Data Centred Projects The chosen Candidate will be responsible for Developing all aspects of Data mining Predictive Analytics Solution Development to name a few Ability to Analyze complex Data and provide recommendations to Business Proficient with Statistical Analysis AI ML Algorithms applying them on Large Datasets Establish Scalable Efficient Solutions for large scale Data Analysis AI ML Model Development AI ML Model Validation AI ML Model Implementation and AI ML Model Automation MLOps Excellent proficiency in Core Python Fundamentals Python Programming and other relevant Python Frameworks such as Django Flask etc Object Relational Mapper Libraries SQL Strong knowledge of AI ML DL Techniques Algorithms and tools with exposure to CNN RNN LSTM Transformers BERT Experience with Training BERT LSTM for different NLP tasks Exposure to NLP Data Wrangling and Tokenization Proficiency in working with Open Source Deep Learning libraries like TensorFlow Keras Pytorch Proficient in communicating technical findings to Non Technical Stakeholders Communicate Complex Data or Algorithms into simple Conclusions that will empower Leadership to drive action based on the Insights derived Strong Presentation and Communication Skills Exposure to Cloud Technologies like Azure AWS or GCP Bachelor s Master s degree in Engineering or any Quantitative discipline from Premier Institutes Scienaptic is on a mission to increase credit availability by transforming technology used in credit decisioning Over 150 years of credit experience is embedded in Scienaptic s AI native credit decision platform Our clients across banks credit unions fintech and other lenders use the platform to constantly improve the quality of underwriting decisions This enables them to say yes to borrowers more often and faster This job is provided by Shine com
154,Python Developer,Diverse Lynx,"Bengaluru, Karnataka, India",Coordinating with development teams to determine application requirements Writing scalable code using Python programming language Testing and debugging applications Developing back end components Integrating user facing elements using server side logic Assessing and prioritizing client feature requests Integrating data storage solutions Coordinating with front end developers Reprogramming existing databases to improve functionality Developing digital tools to monitor online traffic 
155,Java Developer for BANGALORE,Quess IT Staffing,"Bengaluru, Karnataka, India",Shift 1 30 PM to 10 30 PM WFH 1 YEAR 3 years of software development experience in Java React and or Angular in support of data driven solutions Proficiency in Spring boot Struts JSP Web services RESTful using JSON and XML formats and produce reusable superior technical components Strong SQL knowledge RDBMS experience on any recognized database Aurora MySQL Postgress Redshift Aurora 3 years of HTML CSS JavaScript experience Good understanding of JavaScript concepts 3 years of Java experience Proven experience on the AWS platform In depth understanding of web development and API integration delivery methodology Excellent written and verbal communication skills SDLC Software Development Life Cycle and Agile Methodology Exposure to Data Warehouse principles Collaborates with colleagues regarding development best practices and or application issues Advises and works on strategic initiatives to mitigate and or alleviate core data application issues including opportunities for process automation Operates independently with some latitude for un reviewed actions or decisions Completes other duties as assigned Max Budget 23 LPA and Immediate only This job is provided by Shine com
156,Frontend Developer,Kaamwork,"Bengaluru North, Karnataka, India",Frontend Engineer Frontend Engineer Frontend Engineer Frontend Engineer Skills Javascript HTML CSS and React js
157,Senior Software Engineer - QA,Entropik,"Bengaluru, Karnataka, India",Responsibilities Work closely with the Product Management to understand review and contribute to Product requirement definitions Works closely and iteratively with Scrum team members to get clarify functional requirements determine Functional API DB data science testing and test automation performance requirements and provide feedback on design solutions functional and technical Conducts In sprint Test Design Test planning Browser API Test automation development and Test execution Develop Test Strategy Test Data required for conducting Functional integration or system testing for Platform for self and for the team Responsible for ensuring the quality of their own work as well as the work of the Team Members Investigates new technologies and techniques and researches ongoing industry developments Troubleshooting the issues identified to understand the root cause of the problem and provide clear information and Assist Developer in fixing the problem Requirements Hands on experience in SAAS Product Testing Domain with Relevant Experience of 5 years with Sufficient Exposure to Black Box as well as Whit Box Testing of Products Min 5yrs experience in Testing with min 3yrs of experience in Automation Performance Experience in selenium Appium Protractor min expertise with at least one automation testing tool Strong Programming Skills and hands on experience with Java Junit hands on experience with any one of the Scripting Languages such as Perl JavaScript python web services Automation Strong Experience in REST API Testing in Postman Newman tools Strong Experience in Database Testing in Windows and Linux Environment Experience in mentoring of the team members technically Experience in Agile Continuous Integration Experience in Doing Test Bed Setups for Multi Tier Application Strong Individual Contributor Proactive Dynamic Team player Self motivated and believe in doing and getting things done Benefits Applicable as per company policy About Entropik Technologies Entropik Tech is the world s leading Emotion AI company that reads Human Emotions helping redefine experiences In our Mission to Humanize experiences we have built AI technologies that understand Human Emotions by Facial Expressions Eye Movement Voice Tonality and Brainwaves in a fast and scalable manner Our Diverse product portfolio lets you measure experiences across Media Digital Shopper interactions in an accurate and meaningful way Entropik Tech provides Emotion Insights to over 150 global brands in CPG Retail Media Publishing Telecom and Financial Services industries amongst others The company has a presence across North America Europe Middle East India and South East Asia http www entropiktech com
158,Data Engineer,Mindera,"Bengaluru, Karnataka, India",We are looking for an experienced Data Engineer to join our team Here at Mindera we are continuously developing a fantastic team and would love for you to join us As a Data Engineer you will be responsible for building maintaining scaling and integrating big data based platforms you will also be engaged with the Data Science team in setting up and automating the Data Science models algorithms for production use This is a fantastic opportunity for someone who is passionate about Data and is excited to use different tools to provide data insight for further analysis and drive business decisions National and international expected travelling time varies according to project client and organisational needs 0 15 estimated Requirements You re great at Python AWS like Glue S3 EMR Athena and ECS Fargate SQL Airflow Data Modelling Pyspark It also would be cool if you have Exposure to DBT would be preferable Experience working with modern data platforms such as redshift or snowflake would be preferable Experience working with Airflow Docker Terraform and CI CD would be preferable Experience working with docker Scala and Kafka would be an added advantage What You Will Be Doing Implement support new data solutions in the data lake warehouse built on the snowflake Develop and design data pipelines using python Design and Implement Continuous Integration Continuous Deployments pipelines Perform Data Modelling using downstream requirements Develop transformation scripts using advanced SQL and DBT Write test cases scenarios to ensure incident free production release Collaborate closely with data analysts and different domains such as Finance risk compliance product and engineering to fulfil requirements Debug production and development issues and provide support to colleagues where necessary Perform data quality checks to ensure the quality of the data exposed to the end users Build strong relationships with team peers and stakeholders Contributes to overall data platform implementation Benefits We offer Flexible working hours self managed Competitive salary Annual bonus subject to company performance Access to Udemy online training and opportunities to learn and grow within the role At Mindera we use technology to build products we are proud of with people we love Software Engineering Applications including Web and Mobile are at the core of what we do at Mindera We partner with our clients to understand their products and deliver high performance resilient and scalable software systems that create an impact on their users and businesses across the world You get to work with a bunch of great people and the whole team owns the project together Our culture reflects our lean and self organisation attitude We encourage our colleagues to take risks make decisions work in a collaborative way and talk to everyone to enhance communication We are proud of our work and we love to learn all and everything while navigating through an Agile Lean and collaborative environment Check out our Blog http mindera com and our Handbook http bit ly MinderaHandbook Our offices are located Porto Portugal Aveiro Portugal Coimbra Portugal Leicester UK San Diego USA Chennai India Bengaluru India
159,Data Scientist,sugar.fit,"Bengaluru East, Karnataka, India",Looking For Quick Learners Prior knowledge of Python is a must Comfortable with Build fast and iterate Project members at Sugarfit dont own code They own features and technologies This requires understanding of product and business requirements and owning end to end execution of app features Analyze raw data assessing quality cleansing structuring for downstream processing Design accurate and scalable prediction algorithms Collaborate with engineering team to bring analytical prototypes to production Generate actionable insights for business improvements Skills Strong problem solving skills with an emphasis on product development Experience using statistical computer languages R Python SLQ etc to manipulate data and draw insights from large data sets Knowledge of a variety of machine learning techniques clustering decision tree learning artificial neural networks etc and their real world advantages drawbacks Excellent written and verbal communication skills for coordinating across teams A drive to learn and master new technologies and techniques At least 3 years of experience in quantitative analytics or data modeling Deep understanding of predictive modeling machine learning clustering and classification techniques and algorithms Fluency in a programming language Python C C Java SQL Familiarity with Big Data frameworks and visualization tools Cassandra Hadoop Spark Tableau Life At Sugar fit Life so good youd think were kidding Competitive salaries Period An extensive medical insurance that looks out for our employees their dependants Well love you and take care of you our promise Flexible working hours Just dont call us at 3AM we like our sleep schedule Tailored vacation leave policies so that you enjoy every important moment in your life A reward system that celebrates hard work and milestones throughout the year Expect a gift coming your way anytime you kill it here Learning and upskilling opportunities Seriously not kidding Good food games and a cool office to make you feel like home An environment so good youll forget the term colleagues cant be your friends At Sugarfit our mission is to Enable people to lead a Normal life Through our products and services we want to reverse and manage diabetes In pursuit of this objective we are always looking for excellent team members to fulfill the vision of building these incredible and innovative products 
160,Data Analyst,Right Advisors Private Limited,"Bengaluru, Karnataka, India",Must Have Expert in SQL Expert in Power BI Azure Synapse or Azure Datawarehouse Nice to have Good at programming any language SSIS Exposure to Azure cloud This job is provided by Shine com
161,Data Scientist (Devops / Machine Learning/ Data Science),Larsen oamp Toubro Infotech Ltd,"Bengaluru, Karnataka, India",Exp 0 3 years Roles Responsibilities Create an industry changing product from scratch without any technology constraints Design develop and implement advanced data driven approaches including NLP machine learning algorithms text mining etc Design develop and implement R D and pre product prototype solutions Selecting features building and optimizing classifiers using machine learning techniques Data mining using state of the art methods Processing cleansing and verifying the integrity of data used for analysis Doing ad hoc analysis and presenting results in a clear manner Skills Excellent understanding of machine learning techniques and algorithms such as k NN Naive Bayes SVM Decision Forests etc Experience in neural networks regression classification and clustering Experience of handling various data types and structures structured and unstructured data validating and cleaning data and measuring evaluation Proficiency in programming languages like Python C C Java Experience with common data science toolkits such as Pandas Jupyter Spark etc Excellence in at least one of these is highly desirable Experience with data visualization tools such as D3 js GGplot etc Experience with relational databases and proficiency in using query languages such as SQL Good to have experience with NoSQL databases such as MongoDB Elasticsearch etc Good applied statistics skills such as distributions statistical testing regression etc Good problem solving skills Data oriented personality Great communication skills Job Segment Database Scientific Data Mining ERP SAP Engineering Technology
162,"Software Engineer - C#,.Net",Quantified HR Private Limited,"Bengaluru, Karnataka, India",Roles Responsibilities Propose software solutions to challenging problems Develop software modules based on Object Oriented Programming techniques Maintain post launch product software provide resolution to product quality issues Participate in code design and test plan reviews Comfortable working with Agile CI CD environments Work with global software team members to deliver complete and high quality software applications to schedule and specification Deploy software solutions on Windows Establishes and maintains thorough and accurate documentation of all work Create practice software reusable content and drive continual improvement Demonstrate strong sense of ownership urgency and drive Ability to work independently and collaboratively Education Qualification Bachelor s degree in Engineering Computer Science Electronics or its equivalent Experience 04 to 06 years of experience in relevant software industry Solid development experience using C C and knowledge of NET standard libraries WPF WinForms WCF COM Libs Very good with data structures design patterns object oriented design and algorithms used in programming Experience with large scale data base management SQL Server Oracle MS Access nHibernate Entity Framework Experience with Windows platform Experience in following formal software development lifecycle including working with requirements creation of functional design specifications code reviews code coverage and engaging in process enhancements Experienced with Agile development Excellent teamwork and collaboration skills Excellent written and verbal communication skills Competencies And Other Requirements Experience in microscope imaging and analysis product PC based instrument uses camera robotics control software development a Plus Experience in Communications over serial USB control board and Integration with embedded systems Tools Jira Git GitLab Confluence Docker Nuget Team foundation Server and Source safe Willing to travel abroad based on project need
163,Power BI Developer - Qlikview/Tableau,Zelus India,"Bengaluru, Karnataka, India",Developer is responsible for delivery of visually immersive coherent data visualization reports and dashboard on Power BI platform which includes design development configuration and deployment effort Developer should have 4 to 7 years of experience as developer in PowerBI QlikView Tableau MicroStrategy Working Knowledge of DAX and M language Preferable Good understanding of Data Warehousing and Dashboarding skills Good to have Data Modelling using SSAS and Power BI Good to have Data Modelling experience using Power and SSAS Experience in implement row level security Hands on experience on SQL performance and tuning Should have development testing and deployment knowledge and best practice and coding standards Ability to understand the overall solution and design components to fit the overall solution Ability to take technical decisions and support the decisions with justifications Ability to work in agile manner Ability to work independently without much guidance Self Motivated team player results oriented strong Time Management skills Excellent presentation written and verbal communication skills required Good team player with interpersonal skills Excellent Communication skills Good to have AAS Azure Analysis Service experience SQL Data warehousing Concepts Dashboarding skills ref hirist com 
164,Analyst - Data Science and Analytics,People Realm Recruitment Services,"Bengaluru, Karnataka, India",This job is sourced from a job board Learn more A global Financial Services Firm with businesses in the area of Credit Card Auto Loan Personal and Commercial Banking is hiring an Analyst who will be part of their Model Risk Management team The team defends the Firm against model failures and find new ways of making better decisions with models using statistics software engineering and business expertise to drive the best outcomes in both Risk Management and the Enterprise Role Description Partner cross functionally with data scientists quantitative analysts business analysts software engineers and project managers to manage the risk and uncertainty inherent in statistical and machine learning models in order to lead the firm to the best decisions not just avoid the worst ones Build and validate statistical and machine learning models through all phases of development from design through training evaluation and implementation Develop new ways of identifying weak spots in model predictions earlier and with more confidence than the best available methods Assess challenge and at times defend state of the art decision making systems to internal and regulatory partners Leverage a broad stack of technologies Python R Conda AWS and more to reveal the insights hidden within huge volumes of data Build upon your existing machine learning and statistical toolset both by learning new technologies and by building custom software tools for data exploration model performance evaluation and more Communicate technical subject matter clearly and concisely to individuals from various backgrounds both verbally and through written communication prepare presentations of complex technical concepts and research results to non specialist audiences and senior management Flex your interpersonal skills to translate the complexity of your work into tangible business goals and challenge model developers to advance their modeling data and analytic capabilities The Ideal Candidate Is Inquisitive You thrive on bringing definition to big undefined problems You love asking questions and pushing hard to find answers You re not afraid to share a new idea Technical You re comfortable with open source languages and are passionate about developing further You have hands on experience developing data science solutions using open source tools and cloud computing platforms Statistically minded You ve built models validated them and backtested them You know how to interpret a confusion matrix or a ROC curve You have experience with clustering classification time series and deep learning Innovative You continually research and evaluate emerging technologies You stay current on published state of the art methods technologies and applications and seek out opportunities to apply them Basic Qualifications Degree in statistics math engineering economics econometrics financial engineering finance or operations research with a quantitative emphasis preferred Experience in Python or R Preferred Skills Not Mutually Exclusively Proficiency in key econometric and statistical techniques such as predictive modeling logistic regression survival analysis panel data models decision trees machine learning methods Experience in model development or validation Experience in R or Python for large scale data analysis Experience with relational databases and SQL This job is provided by Shine com Desired Skills and Experience decision trees panel data data science cloud computing risk management data models technical subject matter time series 
165,Oracle Apex Developer,CLYENT TECHNOLOGIES,"Bengaluru, Karnataka, India",This job is sourced from a job board Learn more 5 years of proven Coding experience in SQL PL SQL Oracle APEX Project experience on Oracle APEX developing templates business components page rendering integration Java Scripts Charts etc Experience on developing database Packages Procedure Functions and Triggers Well versed in setting up Database schema creating tables Views Materialized views and connections Experience in preparing Data migration scripts using PL SQL Expertise in SQLperformance tuning and usage of latest Oracle DB features Exposure to Oracle Cloud Database Cloud Services Autonomous Database is an added advantage Hands on with debugging code and troubleshooting Experience with dev ops CI CD and Agile methodologies Must have excellent customer facing skills that include conducting compelling technical briefing demonstrations This job is provided by Shine com Desired Skills and Experience cd sql ci oracle apex pl sql
166,ABAP Developer Associate,SAP,"Bengaluru East, Karnataka, India",We help the world run better Our company culture is focused on helping our employees enable innovation by building breakthroughs together How We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences values flexibility and is aligned to our purpose driven and future focused work We offer a highly collaborative caring team environment with a strong focus on learning and development recognition for your individual contributions and a variety of benefit options for you to choose from Apply now Position Title ABAP Developer Associate T1 PE CSI CIM AIS India Procurement PURPOSE AND OBJECTIVES EXPECTATIONS AND TASKS About AIS The AIS organization provides maintenance development support and continuous improvement for all standard releases in general availability At AIS it is our mission to deliver excellent maintenance innovation and transformation services to our customers helping in their Digital Transformation AIS also supports the cloud applications as they acquire a mature state where they would require best in class development support Our primary objective is to ensure an efficient and performant operation of SAP software We take full responsibility for the code and we provide standard solutions to our customers inquiries We are looking for an engaged and dynamic developer with great communication skills to take ownership provide maintenance and continuous innovation to our core products SAP Treasury G Invoicing solution is a novel sustainable solution intended to improve the quality of the United States Intragovernmental Transactions IGT As a part of highly motivated and experienced team your focus will be to make SAP Customers successful by working with them to solve and overcome incidents in SAP Treasury G Invoicing solution You will develop strategies to improve and maintain the overall quality of your topic Amongst The Other Things This Comprises Ability to perform a detailed analysis of customer requests and incidents and produce solutions for complex problems and situations Using your technical skills and functional knowledge participate in coding testing documentation and maintenance of new features while ensuring high quality and security in your area of responsibility Continually enhance your skills and seek new areas for personal development Be able to work in a global team and be agile flexible enough to support customers in US time zone whenever required We are looking for colleagues who have the passion to analyze complex and challenging issues faced by our customers and provide quality solutions The person should have excellent analytical and problem solving skills exhibit team player capability have ability to work under pressure knows how to handle critical customer situations and have an ambition to learn and perform High level of commitment towards ownership of product topic will be the key for success Education BE B Tech ME M Tech MCA Skills Strong in ABAP OO ABAP Java Script HTML5 CSS SAP UI5 Highly motivated and importantly a Team player Strong analytical and problem solving skills Excellent communications skills High Performance and learning orientation Recommended Good understanding of SAP products and technologies such as SAP SD SAP MM SAP FICO SAP S 4 HANA Fiori Knowledge on Invoicing Tax processes is an added advantage Comfortable working in collaborative well managed fast paced and highly dynamic work environment Work Experience 3 5 yrs of experience We build breakthroughs together SAP innovations help more than 400 000 customers worldwide work together more efficiently and use business insight more effectively Originally known for leadership in enterprise resource planning ERP software SAP has evolved to become a market leader in end to end business application software and related services for database analytics intelligent technologies and experience management As a cloud company with 200 million users and more than 100 000 employees worldwide we are purpose driven and future focused with a highly collaborative team ethic and commitment to personal development Whether connecting global industries people or platforms we help ensure every challenge gets the solution it deserves At SAP we build breakthroughs together We win with inclusion SAP s culture of inclusion focus on health and well being and flexible working models help ensure that everyone regardless of background feels included and can run at their best At SAP we believe we are made stronger by the unique capabilities and qualities that each person brings to our company and we invest in our employees to inspire confidence and help everyone realize their full potential We ultimately believe in unleashing all talent and creating a better and more equitable world SAP is proud to be an equal opportunity workplace and is an affirmative action employer We are committed to the values of Equal Employment Opportunity and provide accessibility accommodations to applicants with physical and or mental disabilities If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application please send an e mail with your request to Recruiting Operations Team Careers For SAP employees Only permanent roles are eligible for the SAP Employee Referral Program according to the eligibility rules set in the SAP Referral Policy Specific conditions may apply for roles in Vocational Training EOE AA M F Vet Disability Qualified applicants will receive consideration for employment without regard to their age race religion national origin ethnicity age gender including pregnancy childbirth et al sexual orientation gender identity or expression protected veteran status or disability Successful candidates might be required to undergo a background verification with an external vendor Requisition ID 366481 Work Area Software Design and Development Expected Travel 0 10 Career Status Professional Employment Type Regular Full Time Additional Locations 
167,Data Scientist - Academic Operations,HR Consultancy,"Bengaluru, Karnataka, India",Data Scientist Academic Operations Experience 2 0 6 0 Years Location Bangalore Pune Chennai Willing to work full time as a Data Science program Manager Academic and content delivery End to End Curriculum delivery and management Must Have interested in a Student facing interaction role Strong knowledge in Data Science Machine Learning Artificial Intelligence Own the student s learning outcomes by providing them with support on the topics covered in the curriculum Involve in the residency classroom sessions to facilitate lectures and lab sessions Be the first point contact for participants for academic queries and manage discussion groups Monitor participants academic performance and make learning interventions in the form of remedial sessions coaching and mentoring Coordinate with faculty to create best in class learning material video reading material assignments exams Design and conduct examinations to measure the learning outcome of participants Identify Solve interesting problems involving rich datasets in various domains Accordingly create capstone projects on the evolving use cases in the industry Identify key emerging trends in the industry and maintain a rich reference material Assist program director and senior operations and academics managers in planning on campus sessions preparing schedules evaluation and grading Identify key reporting metric and create dashboards to enable quick decision making Automation of manual data collection data cleansing and exploratory data analysis Create and maintain business and technical requirements Identify technical solutions and perform feasibility analysis Create technical roadmaps for the operations Team Manage identify and suggest processes for smoother program management to ensure a consistent and trouble free learning experience Coordinate with IT and Admin to ensure smooth execution at various locations Travel to other cities if required to manage residencies Graduate with an exceptional academic track record Competency Passion for learning Ability to multitask and coordinate with multiple stakeholders Excellent knowledge in python tableau and ML concepts This job is provided by Shine com
168,Hired for Data Engineer,GFL Recruitment Private Limited,"Bengaluru, Karnataka, India",Dear Candidate We re Hiring for Data Engineer Roles Responsibilities 12th pass or graduate required good with MS office fast in typing and error free data entry Regards Team HR This job is provided by Shine com
169,Senior Software Test Engineer,Infinite Computer Solutions,"Bengaluru South, Karnataka, India",12592BR Bangalore Global Axis Tosca tester who could develop reusable libraries across Appeals Grievance and Disputes Knowledgeable in Healthcare domain specifically Appeals Grievance and Disputes areas Experience and have participated in agile ceremonies Qtest knowledge 5 6 years of Total IT experience 2 years of test automation experience using TOSCA for Web applications and API Experience using any source control tools Ability to build good relationships conduct effective technical discussions with peers Ability to derive automation workarounds when standard approaches are not working Good to have experience with testing automation tools like Selenium and UFT Experience in dealing with multiple projects and cross functional teams and ability to coordinate across teams Plan design and execute tests including user interfaces business logic and data access according to application need Provide efficient reports on defect status and own assignments Perform quality assurance and end user acceptance testing to confirm the product satisfies end user requirements and needs Communicate with technical and business personnel about business requirements system related capabilities and enhancement status Create and maintain test data to simulate real life use cases Graduate Range of Year Experience Min Year 4 Range of Year Experience Max Year 8
170,Python Developer,eTeam,"Bengaluru, Karnataka, India",Mandatory Skills Advanced Python is a must Best practice Python including unit tests logging exception and error handling Linux command Docker Kubernetes CICD automation
171,Manual Test Engineer,Diverse Lynx,"Bengaluru, Karnataka, India",Work in a team with your colleagues Design and execute test plans for individual pieces of software and systems Ensure functionality of applications and they match the specifications Monitor logs for output to ensure confidential credentials are not outputting to them Identify and report bugs for developers to fix Assist developers recreate bugs Provide suggestions to enhance different systems or software Add or delete details about the role where necessary
